Gene,Average Log FC,p value,Adjusted                p value ,Subluster
AT2G33790,1.71,6.16838E-15,8.96142E-11,1
AT3G29250,1.61,8.67962E-46,1.26097E-41,1
AT4G19030,1.61,9.44346E-32,1.37195E-27,1
AT3G09260,1.55,2.91083E-59,4.22885E-55,1
AT3G26520,1.15,8.00138E-14,1.16244E-09,1
AT3G16450,1.06,4.75032E-19,6.90126E-15,1
AT1G28290,1.06,3.0496E-28,4.43045E-24,1
AT3G16240,1.04,8.844E-20,1.28486E-15,1
AT3G16420,1.03,2.02796E-36,2.94622E-32,1
AT4G14880,1.02,1.69779E-45,2.46655E-41,1
AT5G47990,1.00,1.66319E-23,2.41628E-19,1
AT5G15230,0.99,6.32403E-18,9.18756E-14,1
AT3G16400,0.98,1.14419E-18,1.66229E-14,1
AT4G22230,0.96,9.48135E-22,1.37745E-17,1
AT3G50640,0.93,1.58893E-24,2.3084E-20,1
AT3G08030,0.91,4.64607E-37,6.74982E-33,1
AT1G41830,0.91,2.36649E-28,3.43804E-24,1
AT4G37410,0.90,2.56736E-19,3.72986E-15,1
AT1G78040,0.89,1.93717E-51,2.81432E-47,1
AT3G16430,0.89,4.36879E-27,6.34698E-23,1
AT2G43535,0.88,9.81971E-12,1.42661E-07,1
AT5G53250,0.87,3.23017E-20,4.6928E-16,1
AT5G26280,0.87,1.04527E-25,1.51856E-21,1
AT1G62480,0.87,4.67966E-14,6.79862E-10,1
AT2G38120,0.85,1.829E-34,2.65717E-30,1
AT5G44585,0.85,3.58161E-18,5.20337E-14,1
AT1G77330,0.84,2.11721E-19,3.07589E-15,1
AT1G65845,0.84,1.45352E-27,2.11168E-23,1
AT1G09560,0.83,2.71108E-34,3.93866E-30,1
AT1G63220,0.83,6.20053E-13,9.00813E-09,1
AT5G03240,0.82,1.10867E-18,1.61067E-14,1
AT1G49240,0.80,6.0186E-20,8.74383E-16,1
AT1G04250,0.80,7.92334E-19,1.1511E-14,1
AT1G36060,0.79,6.28274E-18,9.12756E-14,1
AT5G47950,0.79,3.01252E-32,4.37659E-28,1
AT1G03870,0.77,2.48333E-18,3.60778E-14,1
AT3G56800,0.75,8.65628E-26,1.25758E-21,1
AT5G48000,0.75,2.75781E-19,4.00655E-15,1
AT1G66800,0.75,5.83791E-17,8.48131E-13,1
AT3G01470,0.74,1.68851E-32,2.45307E-28,1
AT3G14595,0.74,1.469E-31,2.13417E-27,1
AT1G54000,0.74,2.65923E-27,3.86333E-23,1
AT5G59290,0.73,3.35592E-27,4.87548E-23,1
AT5G64260,0.73,8.62318E-14,1.25278E-09,1
AT5G66280,0.73,5.64347E-17,8.19883E-13,1
AT5G12940,0.73,3.11828E-20,4.53023E-16,1
AT4G24275,0.73,1.27967E-18,1.85911E-14,1
AT4G22010,0.73,8.47855E-29,1.23176E-24,1
AT5G10430,0.72,4.45706E-11,6.47521E-07,1
AT4G31550,0.72,2.43955E-24,3.54418E-20,1
AT4G25250,0.72,2.40163E-19,3.48909E-15,1
AT5G19340,0.71,3.91841E-26,5.69267E-22,1
AT5G56320,0.71,3.43778E-12,4.9944E-08,1
AT5G19230,0.71,3.55381E-14,5.16298E-10,1
AT5G62340,0.70,5.44318E-09,7.90785E-05,1
AT1G05850,0.70,2.01226E-27,2.92342E-23,1
AT1G08200,0.70,3.94304E-23,5.72845E-19,1
AT2G34300,0.70,5.53459E-28,8.04065E-24,1
AT1G54030,0.69,4.13824E-21,6.01203E-17,1
AT5G27670,0.69,6.05219E-11,8.79262E-07,1
AT4G36640,0.69,8.61665E-25,1.25183E-20,1
AT2G22170,0.69,3.3901E-19,4.92514E-15,1
AT1G70490,0.68,4.44642E-20,6.45976E-16,1
AT1G76240,0.68,4.21695E-11,6.12638E-07,1
AT1G20696,0.68,3.62718E-22,5.26957E-18,1
AT4G30440,0.68,1.41966E-23,2.06248E-19,1
AT5G13870,0.68,1.88903E-12,2.74438E-08,1
AT1G73260,0.68,1.87228E-10,2.72005E-06,1
AT1G78570,0.67,1.22055E-16,1.77322E-12,1
AT2G06850,0.67,6.19733E-16,9.00347E-12,1
AT3G16460,0.67,2.97819E-25,4.32672E-21,1
AT3G17390,0.67,8.80716E-16,1.2795E-11,1
AT5G65660,0.66,4.14671E-13,6.02434E-09,1
AT1G03220,0.66,9.38246E-13,1.36308E-08,1
AT3G12610,0.66,3.41671E-27,4.9638E-23,1
AT3G23820,0.66,2.01163E-26,2.92249E-22,1
AT1G76670,0.66,8.70549E-30,1.26473E-25,1
AT3G04730,0.66,6.5202E-24,9.47254E-20,1
AT2G41475,0.65,2.50279E-25,3.63606E-21,1
AT3G44320,0.65,2.25616E-22,3.27775E-18,1
AT1G23190,0.65,3.68837E-24,5.35847E-20,1
AT5G42590,0.65,1.45807E-22,2.11829E-18,1
AT5G47200,0.64,1.72835E-23,2.51094E-19,1
AT1G11545,0.64,8.02417E-15,1.16575E-10,1
AT1G23490,0.64,1.20468E-16,1.75016E-12,1
AT1G78150,0.64,5.22195E-29,7.58646E-25,1
AT5G10830,0.64,4.28645E-16,6.22735E-12,1
AT3G15950,0.64,1.39036E-21,2.01991E-17,1
AT5G44110,0.64,3.29771E-12,4.79092E-08,1
AT1G74840,0.63,1.86254E-15,2.7059E-11,1
AT5G23420,0.63,1.87307E-07,0.0027212,1
AT3G54810,0.63,7.77596E-20,1.12969E-15,1
AT5G15350,0.63,5.87329E-24,8.53271E-20,1
AT3G54770,0.63,1.44159E-14,2.09434E-10,1
AT4G01610,0.63,2.13394E-26,3.10018E-22,1
AT3G15480,0.62,7.66559E-24,1.11366E-19,1
AT2G15490,0.62,1.28131E-15,1.86148E-11,1
AT5G26667,0.62,9.68421E-17,1.40692E-12,1
AT4G40040,0.62,1.14452E-12,1.66275E-08,1
AT5G35740,0.62,1.25523E-12,1.82359E-08,1
AT5G49460,0.62,3.71534E-27,5.39765E-23,1
AT2G28760,0.61,9.01018E-21,1.309E-16,1
AT2G40475,0.61,1.59667E-20,2.31964E-16,1
AT3G29360,0.61,3.67947E-24,5.34554E-20,1
AT1G65820,0.61,2.26664E-23,3.29298E-19,1
AT1G10470,0.61,1.95932E-24,2.84651E-20,1
AT2G17500,0.61,1.93745E-12,2.81472E-08,1
AT1G01620,0.61,4.25321E-13,6.17906E-09,1
AT1G20010,0.61,1.42823E-15,2.07494E-11,1
AT4G22930,0.61,1.99967E-25,2.90512E-21,1
AT5G19770,0.61,1.78196E-22,2.58883E-18,1
AT4G13510,0.61,1.92385E-22,2.79497E-18,1
AT5G46890,0.61,2.24102E-07,0.00325575,1
AT2G40470,0.60,9.65527E-18,1.40272E-13,1
AT3G04120,0.60,6.85286E-15,9.95583E-11,1
AT5G15490,0.60,3.49256E-16,5.07399E-12,1
AT2G24550,0.60,2.1881E-13,3.17887E-09,1
AT4G17170,0.60,2.88967E-21,4.19811E-17,1
AT2G22770,0.60,2.68709E-20,3.9038E-16,1
AT5G12250,0.60,1.55238E-24,2.2553E-20,1
AT2G31570,0.59,7.24483E-19,1.05253E-14,1
AT1G75780,0.59,1.25689E-11,1.82602E-07,1
AT2G44790,0.59,2.53895E-10,3.68859E-06,1
AT4G25900,0.59,1.9224E-22,2.79286E-18,1
AT1G32640,0.59,1.03945E-12,1.51011E-08,1
AT2G46330,0.59,8.57362E-15,1.24558E-10,1
AT1G29470,0.58,3.50081E-18,5.08598E-14,1
AT4G23710,0.58,5.328E-13,7.74052E-09,1
AT3G55440,0.58,1.91194E-18,2.77767E-14,1
AT5G25460,0.58,4.65657E-07,0.006765071,1
AT2G41110,0.58,1.6127E-13,2.34294E-09,1
AT5G39320,0.58,6.84012E-10,9.93733E-06,1
AT1G78900,0.58,4.91704E-16,7.14348E-12,1
AT2G24570,0.58,1.11995E-16,1.62707E-12,1
AT5G23830,0.57,5.13409E-16,7.4588E-12,1
AT3G10985,0.57,1.29603E-16,1.88287E-12,1
AT1G04820,0.57,2.53602E-17,3.68433E-13,1
AT1G54410,0.57,9.04356E-20,1.31385E-15,1
AT3G14990,0.57,3.16505E-08,0.000459819,1
AT1G20693,0.57,1.56084E-16,2.26758E-12,1
AT4G34720,0.57,3.01715E-15,4.38332E-11,1
AT1G28130,0.57,1.75848E-23,2.55472E-19,1
AT4G11150,0.57,3.89831E-16,5.66347E-12,1
AT1G17890,0.57,1.07366E-22,1.55981E-18,1
AT4G32530,0.57,5.05588E-21,7.34518E-17,1
AT4G38740,0.56,5.26345E-07,0.007646738,1
AT1G54890,0.56,3.41346E-07,0.00495908,1
AT3G27360,0.56,4.35945E-07,0.006333415,1
AT1G27950,0.56,2.99301E-07,0.004348238,1
AT4G12880,0.56,1.77572E-12,2.57977E-08,1
AT5G09890,0.56,4.28549E-25,6.22597E-21,1
AT5G28050,0.56,2.00088E-15,2.90688E-11,1
AT1G19910,0.56,6.24852E-18,9.07785E-14,1
AT3G23470,0.56,1.00977E-19,1.467E-15,1
AT2G19760,0.56,7.62362E-13,1.10756E-08,1
AT5G20650,0.56,1.90354E-17,2.76547E-13,1
AT2G42570,0.55,3.57892E-19,5.19946E-15,1
AT2G44060,0.55,2.89087E-18,4.19985E-14,1
AT1G04680,0.55,1.05719E-23,1.53588E-19,1
AT4G14960,0.55,2.9062E-22,4.22213E-18,1
AT4G15470,0.55,1.37624E-24,1.9994E-20,1
AT3G22850,0.55,2.0998E-20,3.05059E-16,1
AT1G08830,0.55,7.83911E-19,1.13887E-14,1
AT4G00430,0.55,1.02138E-09,1.48385E-05,1
AT1G12840,0.55,4.31816E-21,6.27342E-17,1
AT5G36290,0.55,7.64931E-26,1.11129E-21,1
AT1G01550,0.55,2.40497E-14,3.49394E-10,1
AT5G19250,0.55,3.61557E-15,5.25271E-11,1
AT4G03190,0.54,1.20098E-17,1.74478E-13,1
AT2G16510,0.54,6.00286E-19,8.72095E-15,1
AT5G23860,0.54,4.26326E-17,6.19366E-13,1
AT4G21600,0.54,6.85599E-22,9.96038E-18,1
AT1G63000,0.54,8.8372E-15,1.28387E-10,1
AT5G65020,0.54,3.34615E-18,4.86128E-14,1
AT5G65430,0.54,3.18211E-20,4.62298E-16,1
AT2G28720,0.53,3.18003E-07,0.004619942,1
AT1G25550,0.53,4.52834E-17,6.57877E-13,1
AT4G30190,0.53,2.26383E-16,3.2889E-12,1
AT3G28940,0.53,2.39431E-20,3.47845E-16,1
AT1G66270,0.53,1.76748E-22,2.5678E-18,1
AT1G75800,0.53,3.05867E-19,4.44363E-15,1
AT5G60360,0.53,5.11575E-19,7.43216E-15,1
AT3G45980,0.53,1.50265E-07,0.002183055,1
AT5G57090,0.53,4.68943E-14,6.8128E-10,1
AT1G64640,0.53,1.8701E-10,2.71688E-06,1
AT4G23470,0.53,1.79347E-18,2.60555E-14,1
AT3G24503,0.53,4.91987E-21,7.14759E-17,1
AT1G48440,0.53,3.74833E-19,5.44557E-15,1
AT5G07110,0.52,2.81631E-12,4.09153E-08,1
AT5G66690,0.52,4.73463E-15,6.87847E-11,1
AT2G31390,0.52,9.97837E-24,1.44966E-19,1
AT2G23810,0.52,1.80741E-09,2.62581E-05,1
AT3G45600,0.52,1.07723E-19,1.565E-15,1
AT2G39210,0.52,9.32328E-18,1.35449E-13,1
AT2G34560,0.52,1.9556E-17,2.84109E-13,1
AT5G62180,0.52,2.5854E-19,3.75607E-15,1
AT1G06040,0.52,2.83634E-16,4.12064E-12,1
AT1G64200,0.52,2.58069E-15,3.74922E-11,1
AT3G18780,0.52,8.58129E-11,1.24669E-06,1
AT4G15390,0.52,1.35845E-09,1.97356E-05,1
AT2G43480,0.51,2.23838E-08,0.000325192,1
AT1G65720,0.51,4.61077E-20,6.69852E-16,1
AT3G52990,0.51,6.14385E-19,8.92578E-15,1
AT2G25520,0.51,1.79314E-15,2.60507E-11,1
AT5G64130,0.51,1.21419E-17,1.76398E-13,1
AT3G02230,0.51,1.09657E-08,0.00015931,1
AT2G33470,0.51,2.42569E-15,3.52405E-11,1
AT4G17530,0.51,7.51369E-17,1.09159E-12,1
AT2G45820,0.51,4.74097E-09,6.88768E-05,1
AT3G13410,0.51,4.73493E-22,6.87891E-18,1
AT1G09250,0.51,2.95816E-21,4.29762E-17,1
AT4G19120,0.51,1.0465E-17,1.52036E-13,1
AT5G39570,0.51,1.05611E-14,1.53431E-10,1
AT4G25640,0.50,1.67069E-19,2.42718E-15,1
AT2G27860,0.50,2.20321E-15,3.20083E-11,1
AT4G27860,0.50,6.91668E-17,1.00486E-12,1
AT3G17210,0.50,3.41337E-12,4.95894E-08,1
AT5G08590,0.50,1.99771E-19,2.90227E-15,1
AT3G06650,0.50,6.32068E-16,9.18268E-12,1
AT5G56170,0.50,3.3138E-22,4.81429E-18,1
AT4G32410,0.50,1.78366E-17,2.5913E-13,1
AT2G47130,0.50,1.72582E-13,2.50727E-09,1
AT1G56280,0.50,1.30896E-11,1.90166E-07,1
AT4G18030,0.50,4.43975E-17,6.45007E-13,1
AT1G14670,0.50,1.23435E-16,1.79326E-12,1
AT3G46440,0.50,4.21681E-15,6.12618E-11,1
AT1G50010,0.50,4.806E-15,6.98216E-11,1
AT4G36360,0.49,8.71041E-14,1.26545E-09,1
AT1G04430,0.49,2.60361E-17,3.78252E-13,1
AT4G34640,0.49,1.59367E-21,2.31529E-17,1
AT2G36320,0.49,2.20628E-09,3.20528E-05,1
AT2G25810,0.49,3.59793E-07,0.005227068,1
AT5G48010,0.49,4.45629E-10,6.4741E-06,1
AT4G29350,0.49,4.46695E-15,6.48958E-11,1
AT5G62700,0.49,1.05999E-19,1.53996E-15,1
AT1G67360,0.49,3.82723E-09,5.5602E-05,1
AT4G21960,0.48,7.19483E-11,1.04527E-06,1
AT1G78300,0.48,4.30344E-14,6.25204E-10,1
AT5G51040,0.48,5.06774E-21,7.36241E-17,1
AT1G10670,0.48,3.17729E-17,4.61596E-13,1
AT4G31340,0.48,5.05394E-12,7.34236E-08,1
AT1G04750,0.48,6.481E-19,9.4156E-15,1
AT2G29550,0.48,3.13579E-14,4.55568E-10,1
AT5G05170,0.48,5.57523E-16,8.0997E-12,1
AT4G38920,0.48,1.8055E-13,2.62303E-09,1
AT3G44326,0.48,3.26209E-18,4.73917E-14,1
AT4G26630,0.48,3.72783E-11,5.41579E-07,1
AT5G53300,0.47,4.94206E-21,7.17982E-17,1
AT1G56330,0.47,2.06562E-11,3.00093E-07,1
AT4G14640,0.47,9.5731E-16,1.39078E-11,1
AT2G47320,0.47,1.42348E-15,2.06804E-11,1
AT2G30440,0.47,9.01896E-17,1.31027E-12,1
AT1G45015,0.47,9.34705E-12,1.35794E-07,1
AT5G17190,0.47,3.06073E-15,4.44663E-11,1
AT5G39730,0.47,5.36931E-15,7.80054E-11,1
AT4G02620,0.47,6.5809E-12,9.56073E-08,1
AT2G45960,0.47,4.25489E-13,6.18151E-09,1
AT5G42980,0.47,3.73883E-19,5.43177E-15,1
AT1G14900,0.47,5.10593E-08,0.00074179,1
AT3G28200,0.47,3.60956E-16,5.24397E-12,1
AT5G58060,0.46,1.06012E-18,1.54014E-14,1
AT5G05010,0.46,7.202E-18,1.04631E-13,1
AT5G48230,0.46,5.39997E-16,7.84507E-12,1
AT1G11670,0.46,8.84802E-09,0.000128544,1
AT3G09300,0.46,3.4434E-18,5.00258E-14,1
AT3G02780,0.46,1.21613E-18,1.76679E-14,1
AT1G14080,0.46,7.6305E-19,1.10856E-14,1
AT3G45310,0.46,4.39784E-14,6.38919E-10,1
AT4G32890,0.46,1.35586E-11,1.9698E-07,1
AT5G47770,0.46,2.69905E-20,3.92118E-16,1
AT5G19120,0.46,2.39986E-08,0.000348652,1
AT1G30630,0.46,2.48821E-14,3.61488E-10,1
AT1G15400,0.46,1.81783E-13,2.64094E-09,1
AT3G01390,0.46,6.22514E-17,9.04388E-13,1
AT1G09630,0.46,2.60485E-15,3.78433E-11,1
AT5G06270,0.46,4.08449E-07,0.005933945,1
AT3G24160,0.46,2.72666E-16,3.96129E-12,1
AT2G17560,0.45,1.95736E-15,2.84365E-11,1
AT5G12140,0.45,9.3401E-14,1.35693E-09,1
AT5G48810,0.45,1.35239E-14,1.96475E-10,1
AT2G46600,0.45,8.64908E-09,0.000125654,1
AT5G04830,0.45,5.11574E-18,7.43215E-14,1
AT3G01220,0.45,1.62961E-07,0.002367494,1
AT5G45490,0.45,1.97176E-12,2.86458E-08,1
AT3G62290,0.45,7.30748E-22,1.06163E-17,1
AT3G23300,0.45,5.21273E-18,7.57305E-14,1
AT3G23810,0.45,6.82085E-08,0.000990933,1
AT1G74380,0.45,2.00266E-11,2.90946E-07,1
AT4G37520,0.45,1.57521E-14,2.28846E-10,1
AT3G25140,0.45,2.99549E-18,4.35185E-14,1
AT5G11970,0.45,3.21738E-15,4.67421E-11,1
AT1G75440,0.45,2.03355E-12,2.95435E-08,1
AT2G14890,0.45,8.38111E-12,1.21761E-07,1
AT2G27190,0.45,8.50524E-19,1.23564E-14,1
AT3G58730,0.45,3.29261E-17,4.7835E-13,1
AT3G47810,0.45,4.35974E-14,6.33384E-10,1
AT1G35160,0.44,1.0956E-18,1.59169E-14,1
AT3G54650,0.44,1.14175E-10,1.65874E-06,1
AT5G22630,0.44,7.73789E-10,1.12416E-05,1
AT1G30110,0.44,5.05652E-15,7.34611E-11,1
AT1G52280,0.44,3.35978E-17,4.88108E-13,1
AT4G34260,0.44,4.86775E-22,7.07186E-18,1
AT5G45550,0.44,4.47728E-18,6.50459E-14,1
AT2G20760,0.44,3.40614E-11,4.94844E-07,1
AT3G58120,0.44,1.90312E-14,2.76485E-10,1
AT2G22795,0.44,3.08922E-16,4.48802E-12,1
AT1G01800,0.44,1.36644E-15,1.98517E-11,1
AT5G18860,0.44,8.98834E-18,1.30583E-13,1
AT1G19000,0.43,1.12187E-12,1.62985E-08,1
AT5G03460,0.43,5.68947E-16,8.26567E-12,1
AT4G11820,0.43,2.48053E-14,3.60371E-10,1
AT1G79440,0.43,2.03172E-19,2.95168E-15,1
AT5G54500,0.43,2.85729E-09,4.15106E-05,1
AT5G21090,0.43,9.12933E-13,1.32631E-08,1
AT5G63030,0.43,2.18284E-16,3.17123E-12,1
AT5G65810,0.43,9.44705E-15,1.37247E-10,1
AT5G34850,0.43,2.77891E-14,4.03721E-10,1
AT5G66590,0.43,4.07154E-11,5.91513E-07,1
AT3G48100,0.43,8.87458E-13,1.2893E-08,1
AT5G59890,0.43,3.58104E-18,5.20253E-14,1
AT2G45790,0.43,1.91799E-11,2.78646E-07,1
AT2G18280,0.43,6.92739E-15,1.00641E-10,1
AT3G62650,0.43,1.1312E-11,1.6434E-07,1
AT3G04090,0.43,7.42891E-17,1.07927E-12,1
AT2G24790,0.43,7.45242E-16,1.08269E-11,1
AT1G64980,0.43,1.22302E-18,1.7768E-14,1
AT2G47710,0.42,8.97752E-16,1.30425E-11,1
AT3G46830,0.42,1.97171E-14,2.8645E-10,1
AT5G65670,0.42,3.31888E-17,4.82167E-13,1
AT1G67730,0.42,4.21756E-16,6.12727E-12,1
AT2G29570,0.42,2.56572E-12,3.72748E-08,1
AT5G60920,0.42,7.94589E-11,1.15438E-06,1
AT3G48000,0.42,5.28068E-09,7.67177E-05,1
AT4G34450,0.42,4.32017E-14,6.27634E-10,1
AT1G08500,0.42,5.90233E-11,8.57491E-07,1
AT1G60810,0.42,6.60175E-17,9.59103E-13,1
AT3G14530,0.42,2.53552E-11,3.68361E-07,1
AT4G22235,0.42,1.75961E-10,2.55636E-06,1
AT4G12730,0.41,1.69842E-11,2.46747E-07,1
AT3G48890,0.41,1.16191E-19,1.68803E-15,1
AT4G12650,0.41,2.33564E-13,3.39322E-09,1
AT2G45140,0.41,3.20152E-19,4.65117E-15,1
AT3G27380,0.41,2.33897E-14,3.39805E-10,1
AT1G66240,0.41,7.23812E-12,1.05155E-07,1
AT1G14210,0.41,8.84191E-09,0.000128455,1
AT2G22780,0.41,1.97139E-13,2.86403E-09,1
AT3G51730,0.41,1.68464E-11,2.44744E-07,1
AT5G54970,0.41,2.47945E-09,3.60215E-05,1
AT1G10630,0.41,2.24768E-10,3.26543E-06,1
AT4G00820,0.41,2.64678E-11,3.84524E-07,1
AT5G42090,0.41,4.90112E-17,7.12035E-13,1
AT4G39990,0.41,2.51891E-16,3.65947E-12,1
AT3G49720,0.41,1.83829E-11,2.67067E-07,1
AT3G42790,0.41,3.33554E-16,4.84587E-12,1
AT1G76490,0.41,7.7796E-16,1.13022E-11,1
AT1G03900,0.40,1.09236E-12,1.58698E-08,1
AT5G67420,0.40,3.77627E-11,5.48617E-07,1
AT3G27390,0.40,1.47587E-12,2.14414E-08,1
AT5G13100,0.40,4.01353E-16,5.83085E-12,1
AT1G62790,0.40,4.70907E-18,6.84134E-14,1
AT1G53210,0.40,1.52392E-16,2.21396E-12,1
AT3G54560,0.40,7.75541E-10,1.12671E-05,1
AT3G54400,0.40,4.20405E-07,0.006107644,1
AT4G35450,0.40,4.06175E-18,5.90091E-14,1
AT5G61240,0.40,1.03994E-16,1.51083E-12,1
AT1G70770,0.40,8.61795E-12,1.25202E-07,1
AT5G38480,0.40,1.53594E-12,2.23141E-08,1
AT4G37590,0.40,2.2089E-12,3.2091E-08,1
AT3G17100,0.40,1.31402E-12,1.90901E-08,1
AT5G10960,0.40,8.77886E-15,1.27539E-10,1
AT1G30440,0.40,1.20915E-11,1.75665E-07,1
AT5G51500,0.40,6.72042E-10,9.76342E-06,1
AT2G04780,0.40,9.36651E-08,0.001360767,1
AT4G32150,0.40,1.75889E-17,2.55532E-13,1
AT2G47470,0.40,1.22922E-10,1.78582E-06,1
AT2G36880,0.39,1.54933E-09,2.25087E-05,1
AT5G01710,0.39,5.88807E-14,8.55419E-10,1
AT2G46490,0.39,1.79496E-13,2.60771E-09,1
AT3G08590,0.39,3.84416E-08,0.00055848,1
AT5G49720,0.39,1.32354E-13,1.92283E-09,1
AT4G02500,0.39,3.93344E-12,5.7145E-08,1
AT5G52240,0.39,1.00927E-12,1.46627E-08,1
AT2G45450,0.39,3.89879E-15,5.66417E-11,1
AT4G23420,0.39,2.68772E-13,3.90472E-09,1
AT3G02720,0.39,1.14083E-16,1.65739E-12,1
AT5G03630,0.39,3.84243E-11,5.58228E-07,1
AT2G26370,0.39,3.20459E-17,4.65563E-13,1
AT3G07350,0.39,1.7921E-08,0.000260357,1
AT5G19590,0.39,2.25778E-13,3.2801E-09,1
AT4G30550,0.39,5.92871E-20,8.61323E-16,1
AT3G55770,0.39,6.90392E-14,1.003E-09,1
AT5G01340,0.39,7.97584E-13,1.15873E-08,1
AT1G22640,0.39,3.91068E-09,5.68144E-05,1
