"","Cluster0","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12","Cluster13","Cluster14","Cluster15","Cluster16","Cluster17","Cluster18","Cluster19","Cluster20","Cluster21","Cluster22"
"1","AT3G15370","AT1G50060","AT4G16447","AT5G23030","AT5G43180","AT1G25530","AT2G18800","AT1G30750","AT4G28850",NA,"AT5G11440","AT1G12845","AT5G02640","AT5G57980","AT1G57590","AT5G57785","AT2G45220","AT4G34970","AT5G04080","AT1G26450","AT1G57820","AT5G19870","AT1G19900"
"2","AT1G06120","AT1G54010","AT3G04520","AT4G22080","AT5G46590","AT3G48185","AT3G26610","AT2G40113","AT2G24980","AT3G04520","AT1G27140","AT1G70370","AT3G51030","AT3G18130","AT5G51500","AT3G13610","AT1G56010","AT1G04610","AT2G32275","AT4G23410","AT2G28720","AT1G09440","AT1G67910"
"3","AT4G28940","AT3G04330","AT2G48130","AT5G61650","AT1G16310","AT4G14650","AT5G44530","AT5G42180","AT2G20520","AT2G33530","AT1G33090","AT5G18840","AT1G68810","AT1G23100","AT1G54890","AT4G21780","AT3G02240","AT1G65620","AT1G79430","AT3G14780","AT5G65350","AT1G71300","AT1G10550"
"4","AT2G37260","AT1G52050","AT5G23920","AT2G38790","AT5G49620","AT1G69080","AT5G16570","AT3G55230","AT5G06640","AT4G16447","AT4G22217","AT1G76470","AT5G60490","AT1G23410","AT2G37260","AT3G55290","AT2G34810","AT2G04025","AT1G54575","AT2G31083","AT1G01370","AT1G73140","AT5G10770"
"5","AT3G26740","AT1G52060","AT1G22490","AT2G03720","AT5G47720","AT1G61660","AT4G20210","AT3G11550","AT1G34510","AT5G45210","AT3G09330","AT2G38300","AT5G03170","AT3G44750","AT5G44585","AT5G10770","AT5G01250","AT4G36930","AT5G02600","AT4G18340","AT3G46320","AT4G28500","AT4G33790"
"6","AT5G25440","AT5G60530","AT3G45080","AT1G02570","AT1G80050","AT1G52190","AT1G27660","AT5G66390","AT4G25220","AT5G38790","AT2G34940","AT4G30420","AT4G36160","AT5G02050","AT1G53130","AT3G11260","AT5G48290","AT4G27520","AT3G15650","AT5G37660","AT5G38790","AT1G05310","AT1G23110"
"7","AT1G25450","AT5G24070","AT5G14920","AT3G12540","AT3G11150","AT4G09160","AT5G44160","AT3G24020","AT3G60280","AT1G65900","AT3G46490","AT5G38550","AT1G79620","AT1G27140","AT1G67400","AT3G22235","AT5G56870","AT1G56680","AT5G57350","AT3G15680","AT4G39380","AT5G38310","AT2G40610"
"8","AT3G22060","AT5G55110","AT3G48350","AT1G73860","AT2G18800","AT1G79760","AT4G16980","AT4G13580","AT5G35190","AT3G23730","AT5G15890","AT1G09750","AT2G04850","AT1G52930","AT2G43880","AT2G27920","AT1G61560","AT5G15160","AT5G27690","AT1G07640","AT2G33530","AT1G47410","AT3G19320"
"9","AT2G39010","AT4G37160","AT5G42655","AT4G29180","AT3G46110","AT3G51030","AT2G22420","AT4G17215","AT1G11655","AT4G14040","AT1G24735","AT1G64920","AT5G66300","AT2G31060","AT1G27950","AT5G38550","AT3G10320","AT1G72490","AT2G15310","AT3G43270","AT5G05180","AT5G03510","AT4G15290"
"10","AT4G02650","AT3G59480","AT1G10360","AT1G31750","AT3G11280","AT5G48070","AT2G31085","AT5G65530","AT5G44130","AT2G16750","AT1G24620","AT1G62510","AT2G47670","AT1G14060","AT5G06270","AT4G13860","AT5G64120","AT2G38810","AT5G42146","AT5G23370","AT3G59620","AT1G27440","AT2G31540"
"11","AT5G44585","AT2G23630","AT3G59620","AT2G29620","AT4G23500","AT5G57770","AT4G28410","AT2G27370","AT4G08400","AT5G58300","AT4G27480","AT5G07190","AT3G58780","AT4G31120","AT1G05530","AT1G62510","AT5G15180","AT4G24710","AT3G12730","AT2G28810","AT1G04020","AT5G51890","AT5G44900"
"12","AT1G51850","AT3G02110","AT2G16750","AT3G10710","AT5G62630","AT1G71050","AT1G78090","AT2G30210","AT2G46860","AT3G54220","AT4G09500","AT3G20100","AT3G05180","AT1G15250","AT4G36250","AT3G56290","AT2G01430","AT5G17810","AT5G54660","AT5G47920","AT5G49160","AT4G00230","AT5G02890"
"13","AT2G35960","AT5G15160","AT2G27370","AT3G51540","AT2G19110","AT5G27000","AT5G56530","AT1G71740","AT4G08410","AT3G59620","AT2G18450","AT3G20110","AT4G28140","AT4G00480","AT1G31950","AT3G27650","AT4G33790","AT1G21340","AT3G15353","AT1G73850","AT5G48600","AT4G08160","AT1G75620"
"14","AT1G68390","AT5G58784","AT2G40160","AT3G13782","AT2G42440","AT5G03960","AT1G68130","AT4G02090","AT5G26080","AT5G63660","AT1G07795","AT1G79720","AT5G50950","AT4G25630","AT3G49630","AT3G26470","AT4G15290","AT3G61930","AT1G07640","AT5G23360","AT5G63660","AT2G34790","AT1G61050"
"15","AT4G01890","AT5G51520","AT3G49360","AT3G51380","AT5G16570","AT1G60390","AT4G29140","AT1G03920","AT1G01453","AT4G28100","AT3G57360","AT1G49730","AT5G01070","AT3G59890","AT1G06930","AT4G25433","AT1G76930","AT2G45740","AT1G78580","AT2G21560","AT4G12530","AT5G06610","AT2G23230"
"16","AT1G15180","AT1G16905","AT5G63590","AT4G33730","AT1G78090","AT5G08260","AT4G23500","AT2G47630","AT4G33730","AT5G03150","AT4G04760","AT1G13110","AT3G21270","AT3G05060","AT5G48100","AT1G72210","AT1G14070","AT3G42180","AT4G36410","AT1G47960","AT1G69770","AT2G38080","AT1G34040"
"17","AT4G29285","AT4G25310","AT1G69920","AT2G24980","AT4G33550","AT2G01950","AT2G20100","AT2G39430","AT3G07070","AT3G49360","AT1G56630","AT1G70280","AT3G10080","AT3G15357","AT5G53200","AT4G31380","AT3G12977","AT3G48670","AT2G05760","AT3G47540","AT1G80190","AT1G58070","AT5G38030"
"18","AT1G54890","AT4G01240","AT5G41040","AT5G61640","AT1G60989","AT2G25790","AT3G63300","AT1G44970","AT1G12040","AT1G31650","AT5G44260","AT5G25190","AT4G32880","AT3G57150","AT2G35960","AT1G02850","AT5G02090","AT1G13620","AT5G06850","AT3G27030","AT1G65900","AT5G44030","AT4G01890"
"19","AT5G47550","AT2G41290","AT4G26200","AT5G18910","AT4G21680","AT1G70800","AT3G53900","AT5G23920","AT1G34760","AT4G27970","AT5G46060","AT3G28130","AT1G52150","AT3G27280","AT1G25450","AT2G42660","AT1G21100","AT1G10760","AT3G04300","AT5G64690","AT5G62550","AT3G27200","AT1G04610"
"20","AT1G05660","AT2G40470","AT2G25150","AT5G65090","AT1G60680","AT2G26390","AT1G28400","AT3G52790","AT1G60050","AT2G31230","AT4G35380","AT3G61660","AT2G19810","AT1G55205","AT1G32190","AT4G37700","AT1G74590","AT3G57160","AT2G39830","AT4G34560","AT4G26960","AT1G20850","AT3G46720"
"21","AT3G51150","AT2G43600","AT1G74080","AT1G01453","AT1G26450","AT3G48970","AT4G37650","AT1G60690","AT2G34330","AT5G11020","AT1G30990","AT5G63810","AT5G53830","AT5G27120","AT4G01770","AT2G34810","AT1G22990","AT4G38410","AT3G43270","AT3G14570","AT5G13060","AT4G18425","AT1G51800"
"22","AT4G38420","AT5G60520","AT2G42150","AT5G01280","AT3G29240","AT1G04550","AT4G24670","AT5G06200","AT3G07490","AT3G45400","AT3G50140","AT5G20670","AT1G12260","AT3G13674","AT5G44582","AT3G02240","AT2G38940","AT1G33750","AT1G23530","AT4G39190","AT4G30860","AT4G35350","AT5G65800"
"23","AT5G04970","AT3G49190","AT5G26310","AT1G12040","AT1G10380","AT1G69690","AT3G61490","AT1G08670","AT4G08620","AT2G40160","AT1G22570","AT2G40260","AT3G48185","AT2G45030","AT5G23700","AT2G38300","AT4G15563","AT4G35720","AT4G16480","AT1G52140",NA,"AT3G21550","AT4G17470"
"24","AT3G52480","AT1G79580","AT1G13860","AT4G03330","AT4G23410","AT4G28930","AT1G56210","AT3G04070","AT4G37220","AT1G54730","AT4G31020","AT2G46420","AT2G37210","AT1G62810","AT5G53900","AT1G73330","AT1G52200","AT1G79580","AT2G41300","AT5G62820","AT1G01030","AT3G16920","AT1G66460"
"25","AT2G26710","AT3G42180","AT4G23880","AT1G34510","AT3G26610","AT4G17770","AT5G67160","AT1G65690","AT5G24880","AT2G29330","AT3G50130","AT5G05900","AT2G44690","AT2G24400","AT5G63810","AT5G58350","AT3G14680","AT4G25310","AT3G21600","AT2G35300","AT3G50870","AT5G60020","AT1G28670"
"26","AT3G22250","AT4G15350","AT1G05490","AT5G06630","AT2G25790","AT5G67090","AT3G13810","AT3G09540","AT4G04900","AT3G23160","AT1G03106","AT5G03150","AT3G47400","AT3G02650","AT3G06868","AT2G28120","AT2G28110","AT4G18350","AT1G10380","AT5G49320","AT5G45210","AT4G27435","AT5G44585"
"27","AT1G30720","AT4G01770","AT1G52827","AT2G33460","AT1G48750","AT3G26830","AT5G16720","AT5G63590","AT1G02570","AT5G41920","AT1G18420","AT1G62580","AT1G27380","AT1G56110","AT5G57500","AT5G56870","AT5G58350","AT4G17610","AT2G16740","AT4G16000","AT3G23730","AT1G76020","AT5G44460"
"28","AT1G51800","AT1G33280","AT2G18890","AT4G13390","AT5G58210","AT4G32880","AT2G26040","AT4G17483","AT3G59340","AT2G46535","AT4G29285","AT4G28040","AT5G06670","AT4G28450","AT3G61898","AT3G26450","AT1G70170","AT5G46640","AT4G21310","AT1G13340","AT2G46535","AT5G01930","AT3G61220"
"29","AT2G43470","AT5G20045","AT1G23090","AT5G42510","AT1G01070","AT1G07640","AT3G49470","AT1G08320","AT5G24190","AT3G17840","AT4G16400","AT3G20120","AT1G03820","AT5G07340","AT4G11610","AT3G26300","AT2G35980","AT1G18265","AT2G46630","AT3G11280","AT4G28100","AT5G03260","AT3G27650"
"30","AT2G43880","AT3G61930","AT3G15990","AT4G08400","AT1G68290","AT5G07680","AT2G07680","AT5G42655","AT3G01730","AT2G34150","AT4G09100","AT3G55120","AT4G23680","AT3G19508","AT2G04090","AT5G15180","AT1G53990","AT2G40470","AT4G27435","AT2G34670","AT5G11020","AT1G74770","AT2G03590"
"31","AT5G60350","AT3G03500","AT2G15340","AT5G06640","AT1G79180","AT4G32860","AT5G16040","AT2G22620","AT5G19800","AT5G05180","AT4G07960","AT1G62770","AT1G62981","AT4G05400","AT1G62810","AT1G02930","AT3G09020","AT5G01670","AT2G03500","AT1G35910","AT3G56220","AT1G24030","AT5G61340"
"32","AT5G62150","AT4G27400",NA,"AT5G63270","AT3G59740","AT1G14480","AT5G65340","AT4G26140","AT1G75160","AT2G40120","AT3G59830","AT1G15550","AT3G25710","AT3G22660","AT5G12950","AT4G25560","AT3G48920","AT1G78520","AT5G63850","AT1G71960","AT1G31650","AT5G40020","AT1G22550"
"33","AT5G06870",NA,"AT5G11020","AT5G61260","AT1G30760","AT5G06570","AT1G71040","AT3G09600","AT5G05840","AT3G56220","AT5G06230","AT2G23910","AT2G35760","AT3G10110","AT1G49320","AT5G01250","AT2G35585","AT1G23160","AT5G40980","AT1G74055","AT2G16750","AT5G38610","AT1G49450"
"34","AT1G55450","AT1G23160","AT5G22270","AT5G61550","AT1G14340","AT4G15450","AT5G16000","AT4G32570","AT5G23160","AT3G45260","AT5G25880","AT2G02950","AT2G34710","AT4G15770","AT1G15630","AT1G70720","AT3G47420","AT3G46320","AT2G19580","AT1G09460","AT2G26870","AT5G45140","AT2G02610"
"35","AT1G22110","AT5G33290","AT5G28010","AT4G08620","AT4G17030","AT3G47620","AT4G31360","AT1G20380","AT2G03980","AT5G12900","AT5G46350","AT5G44190","AT4G23670","AT1G63660","AT2G36050","AT5G66985","AT3G15358","AT5G60520","AT1G78520","AT3G13980","AT5G60210","AT3G62020","AT1G55450"
"36","AT4G23700","AT4G36250","AT4G14040","AT4G25940","AT3G23430","AT2G15760","AT5G47720","AT5G16770","AT3G07195","AT2G16580","AT1G04700","AT3G27170","AT1G03010",NA,"AT2G22840","AT3G43670","AT1G18860","AT1G49475","AT2G02000","AT5G56790","AT4G14310","AT3G50220","AT3G22060"
"37","AT2G47190","AT3G29430","AT4G25433","AT2G22290","AT3G25710","AT3G54120","AT1G64620","AT2G44480",NA,"AT4G12530","AT2G39690","AT1G11280","AT2G40320","AT3G14390","AT5G51490","AT5G53680","AT4G37700","AT4G28170","AT3G14780","AT3G56620","AT1G09080","AT4G26580","AT3G02240"
"38","AT3G46700","AT1G33750","AT4G25560","AT2G20520","AT2G20100","AT2G22800","AT1G55205","AT2G46920","AT1G55290","AT4G16270","AT1G52660","AT1G07650","AT1G26570","AT3G18600","AT3G06890","AT4G09760","AT4G20110","AT5G51470","AT5G18970","AT5G54660","AT3G25100","AT4G00220","AT2G42060"
"39","AT2G38940","AT3G14530","AT1G09080","AT1G34760","AT1G02460","AT1G25320","AT3G44890","AT4G10500","AT2G33460","AT5G06730","AT2G37670","AT5G02000","AT5G53710","AT1G61870","AT1G02430","AT4G18910","AT5G62150","AT2G28870","AT2G28810","AT5G56050","AT1G26840","AT4G22920","AT4G15500"
"40","AT3G01900","AT4G12840","AT5G38790","AT4G08410","AT3G25717","AT5G16720","AT1G26100","AT1G77765","AT3G20460","AT5G28010","AT5G49870","AT1G70720","AT5G64690","AT1G63650","AT5G66460","AT5G25110","AT1G02930","AT1G53070",NA,"AT3G15510","AT3G57830","AT1G66690","AT2G17070"
"41","AT1G10990","AT1G29290","AT3G32030","AT1G08990","AT5G05960","AT4G31000","AT2G23600","AT5G67370","AT3G48940","AT1G24130","AT1G63450","AT3G21670","AT3G18660","AT1G28395","AT3G62280","AT1G74360","AT4G26220","AT3G48460","AT5G47920","AT1G23550","AT1G13250","AT2G38320","AT1G05660"
"42","AT2G18969","AT4G20000","AT4G34990","AT5G06990","AT3G26830","AT1G59740","AT1G03840","AT4G24130","AT1G34540","AT2G23130","AT1G30860","AT1G72210","AT3G47290","AT2G39795","AT5G39080","AT4G28750","AT4G11330","AT3G52180","AT5G11100","AT2G27550","AT5G23420","AT3G22415","AT2G16380"
"43","AT5G53200","AT1G71140","AT5G53320","AT4G29800","AT3G53980","AT1G47670","AT4G28250","AT1G47760","AT1G69240","AT1G01030","AT5G49680","AT1G51940","AT3G54820","AT4G16141","AT3G20360","AT5G62680","AT5G61560","AT2G46950","AT5G01370","AT5G13880","AT1G67180","AT5G54690","AT3G55150"
"44","AT3G02240","AT4G11610","AT5G10280","AT4G22640","AT3G47510","AT3G63280","AT4G31120","AT5G47530","AT4G34930","AT1G79120","AT2G02310","AT1G67150","AT4G09890","AT5G55920","AT5G51520","AT4G38550","AT4G23190","AT3G01070","AT2G48090","AT5G05160","AT3G54220","AT5G60720","AT4G26220"
"45","AT1G19900","AT4G21902","AT5G60210","AT4G22070","AT2G45210","AT2G30150","AT1G21090","AT1G43020","AT1G25240","AT2G06200","AT1G69240","AT5G48880","AT5G01360","AT3G55605","AT5G26230","AT2G20142","AT3G27650","AT1G15330","AT3G45610","AT5G44160","AT1G79120","AT2G45420","AT3G13610"
"46","AT3G46690","AT3G51600","AT3G23160","AT4G28850","AT4G33160","AT2G31900","AT1G24310","AT4G21340","AT4G33880","AT5G66600","AT5G61550","AT1G04520","AT4G32950","AT2G25355","AT1G65730","AT3G46500","AT1G22890","AT1G74440","AT5G23170","AT1G78090","AT1G70720","AT2G37090","AT5G42830"
"47","AT3G47420","AT4G15215","AT1G60470","AT5G19560","AT2G36120","AT4G13345","AT5G38970","AT3G27150","AT5G19790","AT1G29170","AT4G36820","AT2G42900","AT5G19530","AT5G15550","AT1G06320","AT2G42350","AT1G55450","AT2G23010","AT1G68430",NA,"AT5G02570","AT4G18780","AT3G46700"
"48","AT1G61560","AT5G23700","AT3G25640","AT2G47530","AT4G28410","AT1G70210","AT4G32520","AT5G66490","AT5G63270","AT1G63260","AT1G22110","AT1G78410","AT3G61380","AT3G11050","AT3G48260","AT2G24600","AT4G23700","AT4G37160","AT1G33080","AT1G62710","AT3G17840","AT1G43790","AT5G62420"
"49","AT5G38100","AT5G57500","AT3G56220","AT2G37820","AT3G30580","AT2G02820","AT3G25710","AT2G42060","AT1G48640","AT1G73805","AT5G24110","AT1G14280","AT1G71050","AT3G58840","AT1G79840","AT5G36925","AT1G67980","AT1G07280","AT3G44220","AT5G56780","AT3G01330","AT2G27740","AT3G21720"
"50","AT3G48920","AT1G65730","AT1G14040","AT3G60280","AT2G23600","AT5G26730","AT5G40980","AT2G28110","AT1G77870","AT1G22650","0","AT1G68330","AT5G01890","AT3G07770","AT2G03590","AT5G59530","AT4G28370","AT3G55646","AT5G40960","AT1G59530",NA,"AT5G15630","AT5G56870"
"51","AT5G64120","AT3G47400","AT1G08180","AT3G07070","AT1G69580","AT1G71695",NA,"AT3G22120","AT1G01660","AT1G74870","0","AT5G49215","AT1G69080","AT2G19670","AT4G30610","AT3G61220","AT2G28710","AT1G57820","AT5G22090","AT2G30070","AT3G06600","AT3G14360","AT4G12530"
"52","AT1G60740","AT5G57800","AT2G22920","AT2G46860","AT2G19330","AT1G04240","AT5G62630","AT5G51680","AT5G43175","AT5G46600","0","AT3G63430","AT1G63520","AT5G48030","AT4G00730","AT5G04310","AT2G42350","AT2G28720","AT5G49320","AT2G18550","AT3G21620","AT1G28470","AT2G42850"
"53","AT5G24110","AT5G15940","AT5G43980","AT5G19800","AT2G16385","AT5G10210","AT3G09035","AT4G28890","AT2G47530","AT4G16370","0","AT1G76040","AT5G53730","AT4G27490","AT2G25130","AT1G55110","AT1G25390","AT4G13690","AT4G36740","AT1G78520","AT3G02820","AT3G62160","AT2G36430"
"54","0","AT3G50740","AT1G31650","AT5G50760",NA,"AT1G21528","AT5G12440","AT5G43540","AT1G25422","AT1G09080","0","AT5G58660","AT2G31110","AT1G23280","AT4G25240","AT3G51860","AT1G18390","AT1G53708","AT1G09460","AT2G34190","AT3G50685","AT5G17420","AT4G13860"
"55","0","AT1G06330","AT2G26870","AT3G21340","AT4G33520","AT1G30490",NA,"AT1G03700","AT5G36260","AT3G26570","0","AT2G16580","AT5G60650","AT4G34360","AT2G36400","AT3G32030","AT1G64610","AT5G56580","AT1G71040","AT5G59080","AT3G18730","AT5G16490","AT5G04970"
"56","0","AT2G35770","AT4G28890","AT3G54870","AT5G23810","AT5G62630","AT1G75200","AT1G28815","AT1G55640","AT3G50870","0","AT5G53750","AT5G06710","AT3G07050","AT5G52830","AT2G28110","AT5G38030","AT5G13370","AT2G38640","AT3G24770","AT2G20980","AT2G41610","AT1G15180"
"57","0","AT3G23410","AT1G01030","AT5G45000","AT2G40900","AT3G48550","AT1G52930","AT3G23550","AT3G56500","AT3G09035","0","AT3G43670","AT3G54260","AT3G61100","AT1G05660","AT4G26220","AT3G26500","AT3G46970","AT4G00670","AT1G78580","AT2G29330","AT5G67230","AT5G26270"
"58","0","AT3G43720","AT1G79120","AT2G36210","AT1G02220","AT1G73780","AT1G21528","AT1G27960","AT1G34520","AT5G38010","0","AT1G09390","AT2G28315","AT1G79150","AT2G28250","AT1G13830","AT5G38020","AT5G55110","AT1G23550","AT5G40980","AT1G15660","AT1G27920","0"
"59","0","AT4G03420","AT1G11170","AT4G04900","AT4G30450","AT5G62430","AT1G02460","AT5G10280","AT4G03500","AT5G15900","0","AT4G28100","AT5G16490","AT4G26780","AT3G07000","AT4G28040","AT3G46690","AT3G50240","AT3G24770","AT3G03770","AT3G49360","AT3G43190","0"
"60","0","AT1G07175","AT5G62165","AT4G33880","AT3G62040","AT2G44690","AT3G27280","AT4G13460","AT2G24970","AT1G09812","0","AT3G26770","AT2G19780","AT5G38890","AT2G01505","AT1G64380","AT2G15390","AT5G64080","AT3G60720","AT1G64160","AT3G48160","AT3G53350","0"
"61","0","AT3G48460","0","AT4G25220","AT2G21400","AT5G35580","AT1G64110","AT4G11970","AT3G10710","AT3G22104","0","AT5G17810","AT5G37590","AT5G08620","AT5G02000","AT1G44160","AT4G38550","AT3G59440","AT1G71870","AT5G21482","AT1G72920","AT1G17950","0"
"62","0","AT4G00360","0","AT1G69790","AT1G73850","AT5G43810","AT5G02050","AT2G15300","AT5G45840","AT1G51260","0","AT5G23100","AT1G14190","AT5G61030","AT1G73160","AT5G50100","AT5G64510","AT1G50720",NA,NA,"AT5G06590","AT1G48280","0"
"63","0","AT3G44450","0","AT1G63930","AT3G23250","AT4G30520","AT5G41590","AT1G13830","AT5G06990","AT4G30420","0","AT2G19590","AT1G01900","AT2G34260","AT1G02390","AT3G27170","AT5G20790","AT5G65350","AT5G63710","AT5G51850","AT5G10170","AT1G58370","0"
"64","0","AT4G21590","0","AT1G70450","AT4G39230","AT1G02205","AT1G28395","AT4G33420","AT1G09860","AT5G26310","0","AT3G46500","AT1G12370","AT3G57360","AT3G46720","AT2G23910","AT2G42060","AT2G23630","AT1G11570","AT5G23170","AT1G78770","AT2G20650","0"
"65","0","AT1G36060","0","AT2G05160","AT4G20970","AT1G30280","AT3G58470","AT5G10520","AT1G16440","AT1G79720","0","AT1G05835","AT1G55760","AT3G25940","AT3G12240","AT1G68330","AT3G61160","AT5G07040","AT1G31770","AT3G55940","AT5G06730","AT1G70500","0"
